suffix,occurences,amInd,asian,black,hispanic,white
ny, 186508,0.00967180335428,0.0114240370386,0.133987961374,0.0207653274927,0.807381951981
skas, 1399,0.0,0.0,0.0,0.0114031451036,0.967106218728
ros, 147293,0.00240671858133,0.0236930655225,0.00883768542972,0.649758513982,0.286182350825
eros, 86146,0.00291411441042,0.0191020511689,0.00210895804797,0.909182535463,0.0606200752211
don, 451802,0.00664280149269,0.00735323681613,0.186260593579,0.0701450951966,0.712553949296
ell, 3805463,0.00696988379601,0.00412392431617,0.174860471906,0.0171137257937,0.780826423513
la, 1001727,0.00395468416045,0.0333726333622,0.00666918940989,0.616442279583,0.327602468736
ment, 41204,0.00985149500049,0.00500370595088,0.0918167726434,0.0189098631201,0.854355205805
ier, 704434,0.00820873041335,0.00793762637806,0.138417232274,0.0253650019732,0.80289307302
brook, 68286,0.005641107987,0.00376769908913,0.107038089799,0.0138969115192,0.854738066368
tabar, 575,0.0,0.087,0.0,0.1652,0.6887
li, 321566,0.00143729032298,0.23628397654,0.0291629736975,0.0573593358751,0.639807326645
wright, 481792,0.00655974507671,0.00393458546427,0.267623344099,0.0151757851936,0.68887442195
cotte, 12368,0.0186543984476,0.00325123706339,0.0010731969599,0.011221822445,0.944776754528
aitis, 1219,0.0,0.00412100082034,0.0,0.00494520098441,0.973724282199
ski, 713567,0.00110893118656,0.00288536283208,0.00098931060433,0.0114892140472,0.970744067901
worth, 220455,0.00570972670159,0.00351611757502,0.104227785262,0.0163557651221,0.855960539793
yk, 31581,0.00056720179855,0.00210353693677,0.000566688831893,0.0113686013742,0.971848364523
stein, 213222,0.00131747662061,0.00538020842127,0.00452423858701,0.0155883459493,0.961182000919
dal, 22579,0.00219971212188,0.0659728420213,0.0639330528367,0.548605881571,0.295902909783
eiro, 20188,0.00336281949673,0.0217020358629,0.0462285218942,0.151821250248,0.632964632455
stos, 13651,0.00254360852685,0.0398801479745,0.00127180426342,0.80495183503,0.139609589041
ius, 42166,0.0151881681924,0.00492174500783,0.126335336527,0.0161722643836,0.82030623251
din, 128696,0.0133632420588,0.0167889157394,0.0904574874122,0.0611477746006,0.798856952819
ema, 20375,0.00108013251534,0.0619835484663,0.00638412760736,0.0705206331288,0.837344991411
nes, 2136650,0.00801329019727,0.00586786722205,0.317783628531,0.0528950283388,0.597557473709
cki, 90965,0.000876663551916,0.00274865607651,0.00053012917056,0.0101976452482,0.973042057934
ems, 17775,0.00554958087201,0.0024370745429,0.178646261603,0.0143661097046,0.782752292546
shi, 38599,0.000821777766263,0.844249014223,0.00155682012487,0.0137413171326,0.0693243244644
ville, 93871,0.00878155980015,0.00382076679699,0.13722899298,0.0151106742231,0.81914339892
oui, 399,0.0,0.6942,0.0175,0.0476,0.1729
on, 19995540,0.00763322810987,0.00925677316041,0.215171072024,0.0425900828185,0.708743067629
ek, 284078,0.00241466287428,0.0181905096488,0.0161357979147,0.0135113683566,0.933800127078
haar, 7826,0.00178308203424,0.00564183490928,0.00217780475339,0.0146612701252,0.966279874776
arz, 26951,0.00058302103818,0.00317266891767,0.00110773997254,0.015878939557,0.968932700085
lund, 71723,0.00299494304477,0.00622231362324,0.00202324777268,0.0172146271071,0.956971930901
za, 729376,0.00328590151033,0.0274930940969,0.00485638408722,0.784785818151,0.167979221691
ec, 31938,0.00147207401841,0.00116188552821,0.000405113031499,0.0161631692655,0.966769669359
enko, 7420,0.000947169811321,0.00363611859838,0.000663018867925,0.0072904851752,0.950794690027
ard, 2002654,0.00754910219139,0.00426540840305,0.180400157841,0.0200214431949,0.771259011392
auskas, 529,0.0,0.0,0.0,0.017,0.9584
dzki, 1248,0.0,0.0,0.0,0.0192,0.9671
ez, 7609317,0.00426042107327,0.0103259385435,0.0051616429832,0.918764006467,0.0567668461177
eu, 49481,0.0108456255937,0.151226074655,0.0343089630363,0.224992376872,0.559016662962
et, 229787,0.0071441012764,0.00508692310705,0.106381351425,0.0457335732657,0.817628627816
ev, 1539,0.0,0.52953814165,0.0,0.00780038986355,0.413228395062
chek, 413,0.0,0.0,0.0,0.0145,0.9758
er, 20866659,0.00595423030587,0.00545601094071,0.114807014266,0.016624579886,0.842465921147
nen, 48462,0.00371297098758,0.0151812224011,0.0349356609302,0.0129935372044,0.915522535182
ycz, 469,0.0,0.0,0.0,0.0192,0.9723
ich, 311119,0.00335080017614,0.00496683487669,0.0227833925283,0.0157769486917,0.939219376509
wicz, 29021,0.00103578443196,0.00210490334585,0.000414730712243,0.012751948589,0.969571234623
kus, 21505,0.00195605673099,0.00482526389212,0.0331247151825,0.0165450360381,0.929255275517
saar, 1208,0.0,0.0099,0.0141,0.0224,0.9445
ese, 208062,0.00642086926012,0.0292461530698,0.106825239111,0.0213051547135,0.821354945641
garth, 1686,0.00417010676157,0.0,0.0426951364176,0.0124862396204,0.926431553974
awan, 2683,0.00224375698845,0.613109727917,0.0096910175177,0.0160172195304,0.264245732389
sma, 30104,0.00256908384268,0.0359722694659,0.00158480268403,0.462982278103,0.482492821552
burg, 67411,0.00471512216107,0.00385268576345,0.0613479313465,0.013527439142,0.902136059397
ba, 94767,0.00222153914337,0.059263718383,0.0235106714363,0.430691921238,0.459913159644
wan, 130718,0.00772389188941,0.107308102174,0.12260341269,0.0143284337276,0.728757115317
bourg, 1068,0.00749241573034,0.00470112359551,0.346429681648,0.0430417602996,0.560879307116
sten, 27478,0.00535941844385,0.00505223087561,0.027125642332,0.0139769743067,0.933724437732
rud, 3003,0.00331282051282,0.00797246087246,0.00233846153846,0.0136286047286,0.962045354645
beck, 139748,0.00498668102585,0.00444485216246,0.0319535148982,0.0135520214958,0.931371621061
dorf, 23239,0.000729626920263,0.00189749558931,0.0015541116227,0.0126509058049,0.968497887172
wi, 1305,0.0,0.20919862069,0.377779157088,0.0107218390805,0.308030804598
ikh, 12110,0.00254070189926,0.817340495458,0.0242930966144,0.00949299752271,0.0570189512799
by, 526500,0.00689582507123,0.00441482488129,0.172974182906,0.0154965435897,0.783947153086
ets, 31288,0.00425043467144,0.00306482677065,0.0297518121964,0.0144407312708,0.9354655427
ok, 470518,0.00732119727619,0.0317441222227,0.100650772553,0.0136328799323,0.831142007957
han, 543989,0.00353136644307,0.281491467291,0.0399028721169,0.0197208952755,0.624958529125
thwait, 636,0.0,0.0,0.0,0.0204,0.9591
ach, 279861,0.00428335209265,0.0526008125462,0.0619241230468,0.0146512554447,0.852081070603
o, 8706319,0.00502920834856,0.0749519057021,0.0123680538698,0.512197705552,0.381271357229
anos, 39306,0.00192938737088,0.00461374599298,0.00336450923523,0.801381132652,0.181852144711
mand, 10493,0.00390127704184,0.0134456971314,0.0759371199848,0.0303023253598,0.855723501382
ow, 549271,0.00854270551331,0.0381060826077,0.102097177896,0.0162255291104,0.817748039128
ov, 17460,0.0,0.00126057846506,0.000344742268041,0.00714637457045,0.93619478236
ou, 51865,0.00175182493011,0.650605101706,0.0259036132266,0.0224070914875,0.269096595006
ot, 160332,0.00651028428511,0.0132260284909,0.10453420964,0.022481006287,0.836734992391
mann, 374403,0.00388005411281,0.00869328290639,0.0224905494881,0.0171697654666,0.934633061701
ipa, 7182,0.00138395989975,0.00818652186021,0.00123018657755,0.730736285157,0.251316109719
toft, 1411,0.0,0.0043,0.0,0.0071,0.9816
son, 12783299,0.00821559480068,0.00532444709304,0.231484333747,0.0158438327618,0.722337888967
stern, 27151,0.00181341387058,0.00547871901587,0.0203102353504,0.0145145740488,0.943779275165
bergen, 6978,0.00856577815993,0.00411493264546,0.0173323301806,0.0160487245629,0.940959558613
novo, 2003,0.0,0.00601018472292,0.0,0.241672391413,0.727415676485
